category;food;protein;fats;carbohydrates
Молочные продукты;Крем творожный с ванилином 5,0% жирности;11,0;5,0;19,2
Молочные продукты;Паста ацидофильная, сладкая 8,0% жирности;6,6;8,0;25,5
Молочные продукты;"Сырки и масса творожная «Цитрон» сладкие,
8,0% жирности";15,0;8,0;11,5
Молочные продукты;Творог полужирный 9,0% жирности;18,0;9,0;3,0
Молочные продукты;Молоко сгущенное с сахаром, 5,0% жирности;7,1;5,0;55,2
Молочные продукты;Молоко сгущенное с сахаром 8,5% жирности;7,2;8,5;55,5
Молочные продукты;"Молоко сгущенное стерилизованное 7,8%
жирности";6,4;7,8;10,3
Блюда из творога;"Вареники ленивые отварные из творога
полужирного";13,2;7,0;13,8
Блюда из творога;Сырники из творога (творог нежирный);18,6;3,6;18,2
Блюда из творога;"Сырники из творога и картофеля (творог
полужирный)";11,9;7,7;15,2
Блюда из творога;"Пудинг из творога запеченный (творог
полужирный)";13,9;9,6;20,1
Молочные продукты;Запеканка из творога (творог нежирный);17,6;4,2;14,2
Молочные продукты;Лапшевник с творогом;7,7;7,4;20,3
Молочные продукты;Сливки пастеризованные 20,0% жирности;2,5;20,0;4,0
Молочные продукты;Сливки пастеризованные 35,0% жирности;2,2;35,0;3,2
Молочные продукты;Сливки стерилизованные 25,0% жирности;2,4;25,0;3,9
Молочные продукты;Сметана 15,0% жирности;2,6;15,0;3,6
Молочные продукты;Сметана 20,0% жирности;2,5;20,0;3,4
Молочные продукты;Сметана 25,0% жирности;2,4;25,0;3,2
Молочные продукты;Сметана 30,0% жирности;2,3;30,0;3,1
Молочные продукты;Творог мягкий диетический 11,0% жирности;16,0;11,0;3,0
Молочные продукты;Творог жирный 18,0% жирности;15,0;18,0;2,8
Молочные продукты;"Сырки и масса творожная сладкая с ванилином,
16,5% жирности";12,0;16,5;9,5
Молочные продукты;"Масса творожная сладкая «Московская», с
ванилином 20,0% жирности";11,5;20,0;14,5
Молочные продукты;"Масса творожная сладкая «Особая» с изюмом,
23,0% жирности";7,1;23,0;27,1
Молочные продукты;Сырки творожные детские, 23,0% жирности;9,1;23,0;18,5
Молочные продукты;"Сырки глазированные с ванилином 10,9%
жирност";9,4;10,9;33,1
Молочные продукты;"Сырки глазированные с ванилином 27,7%
жирности";7,9;27,7;32,6
Молочные продукты;Молоко сухое «Смоленское», 15,0% жирности;28,5;15,0;44,7
Молочные продукты;Молоко сухое цельное, 25,0% жирности;24,2;25,0;39,3
Молочные продукты;Сливки сгущенные с сахаром, 19,0% жирности;8,0;19,0;47,0
Молочные продукты;Сливки сухие 42,0% жирности;19,0;42,0;30,2
Молочные продукты;Сырники с морковью;12,9;11,5;18,8
Молочные продукты;Творожная масса с изюмом;6,8;21,6;29,9
Молочные продукты;Мороженое молочное;3,7;3,5;21,3
Молочные продукты;Мороженое молочное крем-брюле;3,7;3,5;22,9
Молочные продукты;Мороженое молочное шоколадное;3,6;3,7;21,2
Молочные продукты;Мороженое молочное с плодами и ягодами;3,2;2,8;21,2
Молочные продукты;Мороженое молочное в шоколадной глазури;3,2;15,0;20,6
Молочные продукты;Мороженое сливочное;3,7;10,0;19,4
Молочные продукты;Мороженое сливочное крем-брюле;3,7;10,0;21,4
Молочные продукты;Мороженое сливочное шоколадное;3,6;10,0;20,0
Молочные продукты;Мороженое сливочное с плодами и ягодами;3,2;8,0;20,1
Молочные продукты;Мороженое сливочное в шоколадной глазури;3,2;20,0;19,4
Молочные продукты;Пломбир;3,7;15,0;20,4
Молочные продукты;Пломбир крем-брюле;3,7;15,0;22,4
Молочные продукты;Пломбир шоколадный;3,6;15,0;20,4
Молочные продукты;Пломбир с плодами и ягодами;3,2;12,0;21,1
Молочные продукты;Пломбир в шоколадной глазури;3,2;24,0;20,1
Блюда из яиц;Яйцо отварное (всмятку);12,7;11,5;0,7
Блюда из яиц;Яичница глазунья (натуральная);12,9;20,9;0,9
Блюда из яиц;Яйцо под майонезом  с гарниром;4,1;24,5;4,7
Блюда из яиц;Салат яичный;7,6;18,8;3,1
Блюда из яиц;Меланж;12,7;11,5;0,7
Блюда из яиц;Яичный порошок;46,0;37,3;4,5
